proton	1	6	-20	-19	-18	0.920635
proton	1	6	-18	-17	-16	0.956522
proton	1	6	-16	-15	-14	0.942308
proton	1	6	-14	-13	-12	0.939929
proton	1	6	-12	-11	-10	0.968182
proton	1	6	-10	-9	-8	0.948553
proton	1	6	-8	-7	-6	0.946492
proton	1	6	-6	-5	-4	0.932147
proton	1	6	-4	-3	-2	0.926616
proton	1	6	-2	-1	0	0.937243
proton	1	6	0	1	2	0.913502
proton	1	6	2	3	4	0.922601
proton	1	6	4	5	6	0.924788
proton	1	6	6	7	8	0.928719
proton	1	6	8	9	10	0.915385
proton	1	6	10	11	12	0.939189
proton	1	6	12	13	14	0.939024
proton	1	6	14	15	16	0.942177
proton	1	6	16	17	18	0.940252
proton	1	6	18	19	20	0.948718
proton	1	6	20	21	22	0.857143
proton	1	6	22	23	24	0.926471
proton	1	6	24	25	26	0.886364
proton	1	6	26	27	28	0.88
proton	1	6	28	29	30	1
proton	1	7	-30	-29	-28	0.956522
proton	1	7	-28	-27	-26	0.96875
proton	1	7	-26	-25	-24	0.928571
proton	1	7	-24	-23	-22	0.938776
proton	1	7	-22	-21	-20	0.964286
proton	1	7	-20	-19	-18	0.955752
proton	1	7	-18	-17	-16	0.938389
proton	1	7	-16	-15	-14	0.939173
proton	1	7	-14	-13	-12	0.952722
proton	1	7	-12	-11	-10	0.951943
proton	1	7	-10	-9	-8	0.95336
proton	1	7	-8	-7	-6	0.943333
proton	1	7	-6	-5	-4	0.940231
proton	1	7	-4	-3	-2	0.935252
proton	1	7	-2	-1	0	0.936558
proton	1	7	0	1	2	0.917647
proton	1	7	2	3	4	0.930217
proton	1	7	4	5	6	0.933548
proton	1	7	6	7	8	0.945455
proton	1	7	8	9	10	0.941411
proton	1	7	10	11	12	0.942671
proton	1	7	12	13	14	0.962291
proton	1	7	14	15	16	0.962652
proton	1	7	16	17	18	0.968883
proton	1	7	18	19	20	0.951841
proton	1	7	20	21	22	0.936275
proton	1	7	22	23	24	0.931373
proton	1	7	24	25	26	0.973333
proton	1	7	26	27	28	0.96
proton	1	7	28	29	30	0.918367
proton	1	8	-30	-29	-28	0.833333
proton	1	8	-28	-27	-26	0.868421
proton	1	8	-26	-25	-24	0.923077
proton	1	8	-24	-23	-22	0.938144
proton	1	8	-22	-21	-20	0.938462
proton	1	8	-20	-19	-18	0.951417
proton	1	8	-18	-17	-16	0.965049
proton	1	8	-16	-15	-14	0.961382
proton	1	8	-14	-13	-12	0.967672
proton	1	8	-12	-11	-10	0.963806
proton	1	8	-10	-9	-8	0.953477
proton	1	8	-8	-7	-6	0.955943
proton	1	8	-6	-5	-4	0.957391
proton	1	8	-4	-3	-2	0.945378
proton	1	8	-2	-1	0	0.942957
proton	1	8	0	1	2	0.933909
proton	1	8	2	3	4	0.941176
proton	1	8	4	5	6	0.950963
proton	1	8	6	7	8	0.952643
proton	1	8	8	9	10	0.945707
proton	1	8	10	11	12	0.959912
proton	1	8	12	13	14	0.953446
proton	1	8	14	15	16	0.966908
proton	1	8	16	17	18	0.968108
proton	1	8	18	19	20	0.960526
proton	1	8	20	21	22	0.943452
proton	1	8	22	23	24	0.956522
proton	1	8	24	25	26	0.91954
proton	1	8	26	27	28	0.916667
proton	1	8	28	29	30	0.928571
proton	1	9	-30	-29	-28	0.87234
proton	1	9	-28	-27	-26	0.92
proton	1	9	-26	-25	-24	0.901235
proton	1	9	-24	-23	-22	0.944
proton	1	9	-22	-21	-20	0.95814
proton	1	9	-20	-19	-18	0.960145
proton	1	9	-18	-17	-16	0.965487
proton	1	9	-16	-15	-14	0.972114
proton	1	9	-14	-13	-12	0.962913
proton	1	9	-12	-11	-10	0.969243
proton	1	9	-10	-9	-8	0.965345
proton	1	9	-8	-7	-6	0.966507
proton	1	9	-6	-5	-4	0.961863
proton	1	9	-4	-3	-2	0.952651
proton	1	9	-2	-1	0	0.94216
proton	1	9	0	1	2	0.942372
proton	1	9	2	3	4	0.954919
proton	1	9	4	5	6	0.959137
proton	1	9	6	7	8	0.966535
proton	1	9	8	9	10	0.964308
proton	1	9	10	11	12	0.9616
proton	1	9	12	13	14	0.966333
proton	1	9	14	15	16	0.968762
proton	1	9	16	17	18	0.969582
proton	1	9	18	19	20	0.967804
proton	1	9	20	21	22	0.97973
proton	1	9	22	23	24	0.942623
proton	1	9	24	25	26	0.928571
proton	1	9	26	27	28	0.956522
proton	1	9	28	29	30	0.947368
proton	1	10	-30	-29	-28	0.870968
proton	1	10	-28	-27	-26	0.922078
proton	1	10	-26	-25	-24	0.93578
proton	1	10	-24	-23	-22	0.949153
proton	1	10	-22	-21	-20	0.988372
proton	1	10	-20	-19	-18	0.977538
proton	1	10	-18	-17	-16	0.979217
proton	1	10	-16	-15	-14	0.975582
proton	1	10	-14	-13	-12	0.979482
proton	1	10	-12	-11	-10	0.974524
proton	1	10	-10	-9	-8	0.972051
proton	1	10	-8	-7	-6	0.970353
proton	1	10	-6	-5	-4	0.975429
proton	1	10	-4	-3	-2	0.964456
proton	1	10	-2	-1	0	0.957084
proton	1	10	0	1	2	0.944488
proton	1	10	2	3	4	0.961672
proton	1	10	4	5	6	0.967116
proton	1	10	6	7	8	0.969501
proton	1	10	8	9	10	0.968437
proton	1	10	10	11	12	0.973873
proton	1	10	12	13	14	0.974907
proton	1	10	14	15	16	0.971056
proton	1	10	16	17	18	0.976485
proton	1	10	18	19	20	0.979786
proton	1	10	20	21	22	0.979502
proton	1	10	22	23	24	0.970874
proton	1	10	24	25	26	0.942529
proton	1	10	26	27	28	0.90566
proton	1	10	28	29	30	0.890625
proton	1	11	-30	-29	-28	0.898305
proton	1	11	-28	-27	-26	0.92
proton	1	11	-26	-25	-24	0.888199
proton	1	11	-24	-23	-22	0.969349
proton	1	11	-22	-21	-20	0.98543
proton	1	11	-20	-19	-18	0.985022
proton	1	11	-18	-17	-16	0.981395
proton	1	11	-16	-15	-14	0.97485
proton	1	11	-14	-13	-12	0.976422
proton	1	11	-12	-11	-10	0.976953
proton	1	11	-10	-9	-8	0.977203
proton	1	11	-8	-7	-6	0.973121
proton	1	11	-6	-5	-4	0.967043
proton	1	11	-4	-3	-2	0.963261
proton	1	11	-2	-1	0	0.953795
proton	1	11	0	1	2	0.948145
proton	1	11	2	3	4	0.956386
proton	1	11	4	5	6	0.959865
proton	1	11	6	7	8	0.957838
proton	1	11	8	9	10	0.946101
proton	1	11	10	11	12	0.928387
proton	1	11	12	13	14	0.927245
proton	1	11	14	15	16	0.933274
proton	1	11	16	17	18	0.95096
proton	1	11	18	19	20	0.967058
proton	1	11	20	21	22	0.97042
proton	1	11	22	23	24	0.950535
proton	1	11	24	25	26	0.911894
proton	1	11	26	27	28	0.910345
proton	1	11	28	29	30	0.881188
proton	1	12	-30	-29	-28	0.884058
proton	1	12	-28	-27	-26	0.914286
proton	1	12	-26	-25	-24	0.967742
proton	1	12	-24	-23	-22	0.965602
proton	1	12	-22	-21	-20	0.981341
proton	1	12	-20	-19	-18	0.98462
proton	1	12	-18	-17	-16	0.978165
proton	1	12	-16	-15	-14	0.98054
proton	1	12	-14	-13	-12	0.978914
proton	1	12	-12	-11	-10	0.976511
proton	1	12	-10	-9	-8	0.976459
proton	1	12	-8	-7	-6	0.973341
proton	1	12	-6	-5	-4	0.971316
proton	1	12	-4	-3	-2	0.963739
proton	1	12	-2	-1	0	0.958602
proton	1	12	0	1	2	0.944208
proton	1	12	2	3	4	0.96135
proton	1	12	4	5	6	0.952232
proton	1	12	6	7	8	0.958695
proton	1	12	8	9	10	0.963506
proton	1	12	10	11	12	0.960758
proton	1	12	12	13	14	0.967501
proton	1	12	14	15	16	0.975185
proton	1	12	16	17	18	0.98024
proton	1	12	18	19	20	0.983009
proton	1	12	20	21	22	0.981201
proton	1	12	22	23	24	0.973851
proton	1	12	24	25	26	0.938144
proton	1	12	26	27	28	0.93125
proton	1	12	28	29	30	0.92
proton	1	13	-30	-29	-28	0.882353
proton	1	13	-28	-27	-26	0.894309
proton	1	13	-26	-25	-24	0.931193
proton	1	13	-24	-23	-22	0.960331
proton	1	13	-22	-21	-20	0.98272
proton	1	13	-20	-19	-18	0.967161
proton	1	13	-18	-17	-16	0.941929
proton	1	13	-16	-15	-14	0.925035
proton	1	13	-14	-13	-12	0.936675
proton	1	13	-12	-11	-10	0.953709
proton	1	13	-10	-9	-8	0.963055
proton	1	13	-8	-7	-6	0.970088
proton	1	13	-6	-5	-4	0.969807
proton	1	13	-4	-3	-2	0.968894
proton	1	13	-2	-1	0	0.960206
proton	1	13	0	1	2	0.958214
proton	1	13	2	3	4	0.965231
proton	1	13	4	5	6	0.967419
proton	1	13	6	7	8	0.975827
proton	1	13	8	9	10	0.979129
proton	1	13	10	11	12	0.972679
proton	1	13	12	13	14	0.975119
proton	1	13	14	15	16	0.975813
proton	1	13	16	17	18	0.982613
proton	1	13	18	19	20	0.981547
proton	1	13	20	21	22	0.98643
proton	1	13	22	23	24	0.979208
proton	1	13	24	25	26	0.969925
proton	1	13	26	27	28	0.930481
proton	1	13	28	29	30	0.926316
proton	1	14	-30	-29	-28	0.903614
proton	1	14	-28	-27	-26	0.891304
proton	1	14	-26	-25	-24	0.946429
proton	1	14	-24	-23	-22	0.977143
proton	1	14	-22	-21	-20	0.985485
proton	1	14	-20	-19	-18	0.9836
proton	1	14	-18	-17	-16	0.977778
proton	1	14	-16	-15	-14	0.977986
proton	1	14	-14	-13	-12	0.978498
proton	1	14	-12	-11	-10	0.973957
proton	1	14	-10	-9	-8	0.978898
proton	1	14	-8	-7	-6	0.979007
proton	1	14	-6	-5	-4	0.975159
proton	1	14	-4	-3	-2	0.975104
proton	1	14	-2	-1	0	0.965683
proton	1	14	0	1	2	0.956314
proton	1	14	2	3	4	0.972593
proton	1	14	4	5	6	0.977185
proton	1	14	6	7	8	0.975731
proton	1	14	8	9	10	0.97466
