-1	1	1	-30	0.888889
-1	1	1	-28	0.933333
-1	1	1	-26	0.911111
-1	1	1	-24	0.907143
-1	1	1	-22	0.904535
-1	1	1	-20	0.903145
-1	1	1	-18	0.902679
-1	1	1	-16	0.887324
-1	1	1	-14	0.915784
-1	1	1	-12	0.92615
-1	1	1	-10	0.938881
-1	1	1	-8	0.953712
-1	1	1	-6	0.956885
-1	1	1	-4	0.955533
-1	1	1	-2	0.945503
-1	1	1	0	0.943271
-1	1	1	2	0.949013
-1	1	1	4	0.949067
-1	1	1	6	0.956131
-1	1	1	8	0.950458
-1	1	1	10	0.933378
-1	1	1	12	0.914563
-1	1	1	14	0.886754
-1	1	1	16	0.91951
-1	1	1	18	0.916667
-1	1	1	20	0.942652
-1	1	1	22	0.939068
-1	1	1	24	0.919355
-1	1	1	26	1
-1	1	1	28	1
-1	1	2	-30	1
-1	1	2	-28	0.92
-1	1	2	-26	0.934783
-1	1	2	-24	0.906404
-1	1	2	-22	0.908012
-1	1	2	-20	0.867104
-1	1	2	-18	0.891986
-1	1	2	-16	0.881659
-1	1	2	-14	0.921463
-1	1	2	-12	0.948982
-1	1	2	-10	0.963258
-1	1	2	-8	0.971725
-1	1	2	-6	0.970935
-1	1	2	-4	0.96875
-1	1	2	-2	0.959552
-1	1	2	0	0.958956
-1	1	2	2	0.967841
-1	1	2	4	0.969855
-1	1	2	6	0.972485
-1	1	2	8	0.970562
-1	1	2	10	0.956562
-1	1	2	12	0.933231
-1	1	2	14	0.898418
-1	1	2	16	0.894795
-1	1	2	18	0.899172
-1	1	2	20	0.92172
-1	1	2	22	0.928401
-1	1	2	24	0.93
-1	1	2	26	1
-1	1	2	28	1
-1	1	3	-30	0.9375
-1	1	3	-28	1
-1	1	3	-26	0.947826
-1	1	3	-24	0.90113
-1	1	3	-22	0.903553
-1	1	3	-20	0.881481
-1	1	3	-18	0.910484
-1	1	3	-16	0.939667
-1	1	3	-14	0.961135
-1	1	3	-12	0.969264
-1	1	3	-10	0.975875
-1	1	3	-8	0.971803
-1	1	3	-6	0.977278
-1	1	3	-4	0.974935
-1	1	3	-2	0.965223
-1	1	3	0	0.960403
-1	1	3	2	0.972155
-1	1	3	4	0.975658
-1	1	3	6	0.978096
-1	1	3	8	0.97848
-1	1	3	10	0.976506
-1	1	3	12	0.963351
-1	1	3	14	0.944019
-1	1	3	16	0.912012
-1	1	3	18	0.89793
-1	1	3	20	0.906699
-1	1	3	22	0.92562
-1	1	3	24	0.962025
-1	1	3	26	0.888889
-1	1	3	28	0.923077
-1	1	4	-30	0.894737
-1	1	4	-28	0.945946
-1	1	4	-26	0.907801
-1	1	4	-24	0.930693
-1	1	4	-22	0.915394
-1	1	4	-20	0.927783
-1	1	4	-18	0.947159
-1	1	4	-16	0.961813
-1	1	4	-14	0.974026
-1	1	4	-12	0.973635
-1	1	4	-10	0.980286
-1	1	4	-8	0.978863
