     1.100     0.400     0.854    -0.875    22.500   0.000E+00   0.000E+00    3.0    2.0   0.124E+01
     1.100     0.400     0.854    -0.875    67.500   0.000E+00   0.000E+00    5.0    6.0   0.170E+01
     1.100     0.400     0.854    -0.875   112.500  -0.307E+00   0.258E+00   13.0   20.0   0.197E+01
     1.100     0.400     0.854    -0.875   157.500   0.000E+00   0.000E+00    6.0    3.0   0.191E+01
     1.100     0.400     0.854    -0.875   202.500   0.000E+00   0.000E+00    7.0    7.0   0.191E+01
     1.100     0.400     0.854    -0.875   247.500  -0.181E+00   0.258E+00   14.0   18.0   0.197E+01
     1.100     0.400     0.854    -0.875   292.500   0.000E+00   0.000E+00    8.0    8.0   0.170E+01
     1.100     0.400     0.854    -0.875   337.500   0.000E+00   0.000E+00    2.0    3.0   0.124E+01
     1.100     0.400     0.854    -0.625    22.500   0.630E-01   0.303E+00   12.0   11.0   0.106E+01
     1.100     0.400     0.854    -0.625    67.500   0.170E+00   0.133E+00   67.0   53.0   0.207E+01
     1.100     0.400     0.854    -0.625   112.500   0.127E+00   0.101E+00  112.0   94.0   0.259E+01
     1.100     0.400     0.854    -0.625   157.500   0.149E+00   0.117E+00   86.0   70.0   0.232E+01
     1.100     0.400     0.854    -0.625   202.500   0.619E-01   0.134E+00   61.0   56.0   0.232E+01
     1.100     0.400     0.854    -0.625   247.500   0.000E+00   0.986E-01  108.0  108.0   0.259E+01
     1.100     0.400     0.854    -0.625   292.500  -0.122E+00   0.141E+00   49.0   58.0   0.207E+01
     1.100     0.400     0.854    -0.625   337.500   0.000E+00   0.000E+00    7.0   13.0   0.106E+01
     1.100     0.400     0.854    -0.375    22.500   0.000E+00   0.000E+00    8.0   11.0   0.946E+00
     1.100     0.400     0.854    -0.375    67.500  -0.129E+00   0.904E-01  118.0  141.0   0.231E+01
     1.100     0.400     0.854    -0.375   112.500   0.404E-01   0.767E-01  184.0  174.0   0.301E+01
     1.100     0.400     0.854    -0.375   157.500   0.174E-01   0.796E-01  168.0  164.0   0.265E+01
     1.100     0.400     0.854    -0.375   202.500   0.154E+00   0.790E-01  188.0  152.0   0.265E+01
     1.100     0.400     0.854    -0.375   247.500  -0.243E-01   0.767E-01  176.0  182.0   0.301E+01
     1.100     0.400     0.854    -0.375   292.500  -0.935E-02   0.823E-01  154.0  156.0   0.231E+01
     1.100     0.400     0.854    -0.375   337.500   0.000E+00   0.000E+00    6.0   12.0   0.946E+00
     1.100     0.400     0.854    -0.125    22.500   0.371E-01   0.232E+00   20.0   19.0   0.883E+00
     1.100     0.400     0.854    -0.125    67.500   0.164E+00   0.714E-01  232.0  185.0   0.244E+01
     1.100     0.400     0.854    -0.125   112.500   0.296E-01   0.690E-01  225.0  216.0   0.329E+01
     1.100     0.400     0.854    -0.125   157.500  -0.416E-01   0.633E-01  254.0  269.0   0.295E+01
     1.100     0.400     0.854    -0.125   202.500   0.304E-02   0.664E-01  239.0  238.0   0.295E+01
     1.100     0.400     0.854    -0.125   247.500   0.601E-01   0.696E-01  226.0  208.0   0.329E+01
     1.100     0.400     0.854    -0.125   292.500  -0.133E-01   0.694E-01  216.0  220.0   0.244E+01
     1.100     0.400     0.854    -0.125   337.500   0.925E-01   0.212E+00   25.0   22.0   0.883E+00
     1.100     0.400     0.854     0.125    22.500   0.129E+00   0.145E+00   55.0   46.0   0.901E+00
     1.100     0.400     0.854     0.125    67.500  -0.317E-02   0.678E-01  228.0  229.0   0.250E+01
     1.100     0.400     0.854     0.125   112.500   0.623E-01   0.730E-01  206.0  189.0   0.346E+01
     1.100     0.400     0.854     0.125   157.500   0.148E-01   0.554E-01  347.0  340.0   0.322E+01
     1.100     0.400     0.854     0.125   202.500  -0.105E+00   0.559E-01  313.0  362.0   0.322E+01
     1.100     0.400     0.854     0.125   247.500   0.303E-01   0.662E-01  244.0  234.0   0.346E+01
     1.100     0.400     0.854     0.125   292.500   0.000E+00   0.667E-01  236.0  236.0   0.250E+01
     1.100     0.400     0.854     0.125   337.500   0.158E+00   0.145E+00   56.0   45.0   0.901E+00
     1.100     0.400     0.854     0.375    22.500  -0.164E+00   0.127E+00   59.0   74.0   0.104E+01
     1.100     0.400     0.854     0.375    67.500   0.752E-01   0.722E-01  213.0  192.0   0.252E+01
     1.100     0.400     0.854     0.375   112.500  -0.113E+00   0.717E-01  189.0  221.0   0.352E+01
     1.100     0.400     0.854     0.375   157.500   0.691E-01   0.536E-01  384.0  349.0   0.346E+01
     1.100     0.400     0.854     0.375   202.500  -0.148E-01   0.517E-01  388.0  396.0   0.346E+01
     1.100     0.400     0.854     0.375   247.500   0.335E-01   0.697E-01  221.0  211.0   0.352E+01
     1.100     0.400     0.854     0.375   292.500   0.115E-01   0.746E-01  190.0  187.0   0.252E+01
     1.100     0.400     0.854     0.375   337.500   0.245E-01   0.133E+00   60.0   58.0   0.104E+01
     1.100     0.400     0.854     0.625    22.500   0.806E-01   0.987E-01  114.0  102.0   0.135E+01
     1.100     0.400     0.854     0.625    67.500   0.841E-01   0.848E-01  155.0  138.0   0.255E+01
     1.100     0.400     0.854     0.625   112.500  -0.190E-01   0.677E-01  226.0  232.0   0.350E+01
     1.100     0.400     0.854     0.625   157.500  -0.362E-01   0.541E-01  351.0  369.0   0.362E+01
     1.100     0.400     0.854     0.625   202.500   0.190E-02   0.526E-01  381.0  380.0   0.362E+01
     1.100     0.400     0.854     0.625   247.500   0.707E-01   0.716E-01  215.0  195.0   0.350E+01
     1.100     0.400     0.854     0.625   292.500   0.504E-02   0.855E-01  144.0  143.0   0.255E+01
