    1.100    0.400    0.854   -0.875   22.500    0.0000    0.0000    3.0000    2.0000    1.2400  2  2
    1.100    0.400    0.854   -0.875   67.500    0.0000    0.0000    5.0000    6.0000    1.7000  2  2
    1.100    0.400    0.854   -0.875  112.500   -0.3070    0.2580   13.0000   20.0000    1.9700  2  2
    1.100    0.400    0.854   -0.875  157.500    0.0000    0.0000    6.0000    3.0000    1.9100  2  2
    1.100    0.400    0.854   -0.875  202.500    0.0000    0.0000    7.0000    7.0000    1.9100  2  2
    1.100    0.400    0.854   -0.875  247.500   -0.1810    0.2580   14.0000   18.0000    1.9700  2  2
    1.100    0.400    0.854   -0.875  292.500    0.0000    0.0000    8.0000    8.0000    1.7000  2  2
    1.100    0.400    0.854   -0.875  337.500    0.0000    0.0000    2.0000    3.0000    1.2400  2  2
    1.100    0.400    0.854   -0.625   22.500    0.0630    0.3030   12.0000   11.0000    1.0600  2  2
    1.100    0.400    0.854   -0.625   67.500    0.1700    0.1330   67.0000   53.0000    2.0700  2  2
    1.100    0.400    0.854   -0.625  112.500    0.1270    0.1010  112.0000   94.0000    2.5900  2  2
    1.100    0.400    0.854   -0.625  157.500    0.1490    0.1170   86.0000   70.0000    2.3200  2  2
    1.100    0.400    0.854   -0.625  202.500    0.0619    0.1340   61.0000   56.0000    2.3200  2  2
    1.100    0.400    0.854   -0.625  247.500    0.0000    0.0986  108.0000  108.0000    2.5900  2  2
    1.100    0.400    0.854   -0.625  292.500   -0.1220    0.1410   49.0000   58.0000    2.0700  2  2
    1.100    0.400    0.854   -0.625  337.500    0.0000    0.0000    7.0000   13.0000    1.0600  2  2
    1.100    0.400    0.854   -0.375   22.500    0.0000    0.0000    8.0000   11.0000    0.9460  2  2
    1.100    0.400    0.854   -0.375   67.500   -0.1290    0.0904  118.0000  141.0000    2.3100  2  2
    1.100    0.400    0.854   -0.375  112.500    0.0404    0.0767  184.0000  174.0000    3.0100  2  2
    1.100    0.400    0.854   -0.375  157.500    0.0174    0.0796  168.0000  164.0000    2.6500  2  2
    1.100    0.400    0.854   -0.375  202.500    0.1540    0.0790  188.0000  152.0000    2.6500  2  2
    1.100    0.400    0.854   -0.375  247.500   -0.0243    0.0767  176.0000  182.0000    3.0100  2  2
    1.100    0.400    0.854   -0.375  292.500   -0.0093    0.0823  154.0000  156.0000    2.3100  2  2
    1.100    0.400    0.854   -0.375  337.500    0.0000    0.0000    6.0000   12.0000    0.9460  2  2
    1.100    0.400    0.854   -0.125   22.500    0.0371    0.2320   20.0000   19.0000    0.8830  2  2
    1.100    0.400    0.854   -0.125   67.500    0.1640    0.0714  232.0000  185.0000    2.4400  2  2
    1.100    0.400    0.854   -0.125  112.500    0.0296    0.0690  225.0000  216.0000    3.2900  2  2
    1.100    0.400    0.854   -0.125  157.500   -0.0416    0.0633  254.0000  269.0000    2.9500  2  2
    1.100    0.400    0.854   -0.125  202.500    0.0030    0.0664  239.0000  238.0000    2.9500  2  2
    1.100    0.400    0.854   -0.125  247.500    0.0601    0.0696  226.0000  208.0000    3.2900  2  2
    1.100    0.400    0.854   -0.125  292.500   -0.0133    0.0694  216.0000  220.0000    2.4400  2  2
    1.100    0.400    0.854   -0.125  337.500    0.0925    0.2120   25.0000   22.0000    0.8830  2  2
    1.100    0.400    0.854    0.125   22.500    0.1290    0.1450   55.0000   46.0000    0.9010  2  2
    1.100    0.400    0.854    0.125   67.500   -0.0032    0.0678  228.0000  229.0000    2.5000  2  2
    1.100    0.400    0.854    0.125  112.500    0.0623    0.0730  206.0000  189.0000    3.4600  2  2
    1.100    0.400    0.854    0.125  157.500    0.0148    0.0554  347.0000  340.0000    3.2200  2  2
    1.100    0.400    0.854    0.125  202.500   -0.1050    0.0559  313.0000  362.0000    3.2200  2  2
    1.100    0.400    0.854    0.125  247.500    0.0303    0.0662  244.0000  234.0000    3.4600  2  2
    1.100    0.400    0.854    0.125  292.500    0.0000    0.0667  236.0000  236.0000    2.5000  2  2
    1.100    0.400    0.854    0.125  337.500    0.1580    0.1450   56.0000   45.0000    0.9010  2  2
    1.100    0.400    0.854    0.375   22.500   -0.1640    0.1270   59.0000   74.0000    1.0400  2  2
    1.100    0.400    0.854    0.375   67.500    0.0752    0.0722  213.0000  192.0000    2.5200  2  2
    1.100    0.400    0.854    0.375  112.500   -0.1130    0.0717  189.0000  221.0000    3.5200  2  2
    1.100    0.400    0.854    0.375  157.500    0.0691    0.0536  384.0000  349.0000    3.4600  2  2
    1.100    0.400    0.854    0.375  202.500   -0.0148    0.0517  388.0000  396.0000    3.4600  2  2
    1.100    0.400    0.854    0.375  247.500    0.0335    0.0697  221.0000  211.0000    3.5200  2  2
    1.100    0.400    0.854    0.375  292.500    0.0115    0.0746  190.0000  187.0000    2.5200  2  2
    1.100    0.400    0.854    0.375  337.500    0.0245    0.1330   60.0000   58.0000    1.0400  2  2
    1.100    0.400    0.854    0.625   22.500    0.0806    0.0987  114.0000  102.0000    1.3500  2  2
    1.100    0.400    0.854    0.625   67.500    0.0841    0.0848  155.0000  138.0000    2.5500  2  2
    1.100    0.400    0.854    0.625  112.500   -0.0190    0.0677  226.0000  232.0000    3.5000  2  2
    1.100    0.400    0.854    0.625  157.500   -0.0362    0.0541  351.0000  369.0000    3.6200  2  2
    1.100    0.400    0.854    0.625  202.500    0.0019    0.0526  381.0000  380.0000    3.6200  2  2
    1.100    0.400    0.854    0.625  247.500    0.0707    0.0716  215.0000  195.0000    3.5000  2  2
    1.100    0.400    0.854    0.625  292.500    0.0050    0.0855  144.0000  143.0000    2.5500  2  2
