   1   1   1     30.8982      7.4079     -0.1456      0.0423      0.0361
   1   1   2     28.9833      3.5933     -0.0891      0.0459      0.0418
   1   1   3     29.1735      3.8499     -0.0951      0.0430      0.0389
   1   1   4     28.5632      3.4848     -0.0757      0.0472      0.0436
   1   1   5     28.6770      3.6739     -0.0794      0.0424      0.0390
   1   1   6     28.4202      3.3777     -0.0711      0.0431      0.0400
   1   1   7     27.9070      3.2933     -0.0540      0.0429      0.0406
   1   1   8     28.1080      3.2048     -0.0608      0.0465      0.0437
   1   1   9     27.9055      3.2922     -0.0539      0.0580      0.0549
   1   1  10     28.1034      3.5449     -0.0606      0.0445      0.0418
   1   1  11     27.8442      3.1680     -0.0519      0.0428      0.0406
   1   1  12     27.5405      3.5141     -0.0414      0.0422      0.0405
   1   1  13     27.6180      3.1728     -0.0441      0.0428      0.0409
   1   1  14     27.4406      3.2792     -0.0379      0.0412      0.0396
   1   1  15     27.6206      3.4283     -0.0442      0.0433      0.0414
   1   1  16     27.5256      3.2780     -0.0409      0.0438      0.0420
   1   1  17     27.3114      3.2407     -0.0334      0.0445      0.0430
   1   1  18     27.5893      2.9451     -0.0431      0.0431      0.0412
   1   1  19     27.2759      3.4528     -0.0321      0.0465      0.0450
   1   1  20     27.6154      3.1899     -0.0440      0.0426      0.0407
   1   1  21     27.6591      3.2029     -0.0455      0.0441      0.0421
   1   1  22     27.5889      3.1903     -0.0431      0.0444      0.0425
   1   1  23     28.1134      3.3048     -0.0609      0.0449      0.0422
   1   1  24     27.4156      7.4877     -0.0370      0.0419      0.0403
   1   2   1     28.1190      4.8729     -0.0611      0.0485      0.0455
   1   2   2     29.0471      4.7926     -0.0911      0.0499      0.0454
   1   2   3     27.7315      4.1346     -0.0480      0.0490      0.0466
   1   2   4     27.9171      4.0628     -0.0543      0.0477      0.0451
   1   2   5     27.5654      3.5350     -0.0423      0.0508      0.0487
   1   2   6     27.3579      4.1746     -0.0350      0.0490      0.0473
   1   2   7     27.3382      4.3666     -0.0343      0.0481      0.0464
   1   2   8     27.1832      4.3619     -0.0288      0.0725      0.0704
   1   2   9     27.8568      3.9930     -0.0523      0.0471      0.0446
   1   2  10     26.5820      3.8364     -0.0068      0.0485      0.0482
   1   2  11     27.4700      3.8949     -0.0390      0.0518      0.0498
   1   2  12     26.7799      3.9179     -0.0142      0.0477      0.0470
   1   2  13     26.8838      4.0933     -0.0180      0.0475      0.0466
   1   2  14     26.5187      4.0873     -0.0045      0.0419      0.0417
   1   2  15     26.5560      4.2300     -0.0059      0.0494      0.0491
   1   2  16     26.7142      4.2105     -0.0118      0.0401      0.0396
   1   2  17     26.1786      4.5328      0.0085      0.0511      0.0515
   1   2  18     26.3798      4.3312      0.0008      0.0468      0.0468
   1   2  19     26.2306      4.0558      0.0065      0.0463      0.0466
   1   2  20     26.0259      4.2213      0.0144      0.0454      0.0461
   1   2  21     26.5480      3.9222     -0.0056      0.0470      0.0467
   1   2  22     26.0486      4.6665      0.0135      0.0434      0.0440
   1   2  23     26.4333      4.2493     -0.0013      0.0458      0.0457
   1   2  24     25.8103      5.0198      0.0228      0.0457      0.0467
   1   2  25     26.6485      3.9647     -0.0093      0.0458      0.0454
   1   2  26     26.8458      4.9132     -0.0166      0.0454      0.0446
   1   2  27     26.3483      3.8284      0.0020      0.0454      0.0455
   1   2  28     26.6368      4.4083     -0.0089      0.0453      0.0449
   1   2  29     26.4323      4.3410     -0.0012      0.0437      0.0436
   1   2  30     26.2751      5.0911      0.0048      0.0509      0.0511
   1   2  31     26.7031      4.0665     -0.0114      0.0432      0.0427
   1   2  32     26.7673      4.4421     -0.0137      0.0498      0.0491
   1   2  33     26.3000      3.7509      0.0038      0.0455      0.0457
   1   2  34     27.3215      4.6557     -0.0337      0.0488      0.0472
   1   2  35     27.0284      4.4920     -0.0233      0.0504      0.0492
   1   2  36     27.1343      4.1179     -0.0271      0.0484      0.0471
   1   2  37     26.6324      4.2066     -0.0087      0.0493      0.0489
   1   2  38     26.8086      4.4199     -0.0152      0.0494      0.0486
   1   2  39     27.8248      4.0253     -0.0512      0.0504      0.0478
   1   2  40     27.7953      5.4824     -0.0502      0.0481      0.0457
   1   3   1     28.4608      8.2067     -0.0724      0.0471      0.0437
   1   3   2     30.3271      6.4772     -0.1295      0.0437      0.0380
   1   3   3     28.8976      4.7215     -0.0864      0.0445      0.0407
   1   3   4     28.6736      5.3585     -0.0793      0.0419      0.0386
   1   3   5     28.7037      4.9825     -0.0803      0.0423      0.0389
   1   3   6     28.6025      4.4418     -0.0770      0.0413      0.0381
   1   3   7     28.8412      4.8743     -0.0846      0.0392      0.0359
   1   3   8     28.2834      4.4397     -0.0666      0.0385      0.0359
   1   3   9     28.5352      4.8545     -0.0748      0.0388      0.0359
   1   3  10     28.4932      4.3511     -0.0735      0.0386      0.0358
   1   3  11     28.3844      4.6149     -0.0699      0.0394      0.0366
   1   3  12     28.1641      4.8214     -0.0626      0.0400      0.0375
   1   3  13     28.0349      4.5118     -0.0583      0.0398      0.0375
   1   3  14     28.0675      4.6119     -0.0594      0.0394      0.0371
   1   3  15     28.0553      4.3891     -0.0590      0.0410      0.0386
   1   3  16     27.6920      4.5930     -0.0467      0.0407      0.0388
   1   3  17     28.2498      4.7259     -0.0655      0.0391      0.0365
   1   3  18     27.9059      4.4855     -0.0540      0.0334      0.0316
   1   3  19     28.1491      4.8530     -0.0621      0.0371      0.0348
   1   3  20     27.9828      4.5924     -0.0566      0.0382      0.0360
   1   3  21     28.0866      4.4033     -0.0601      0.0430      0.0404
