
  1100.00     0.01  0.00   0.000  0.000   0.000 0.000     0.00   0.00

  1120.00     0.06  0.00   0.000  0.000   0.001 0.000     0.00   0.00

  1140.00     0.14  0.00   0.000  0.000   0.002 0.000     0.00   0.00

  1160.00     0.26  0.00   0.000  0.000   0.005 0.000     0.01   0.00

  1180.00     0.44  0.00   0.000  0.000   0.008 0.000     0.02   0.00

  1200.00     0.68  0.00   0.000  0.000   0.012 0.000     0.04   0.00

  1220.00     1.01  0.00   0.000  0.000   0.018 0.000     0.07   0.01

  1240.00     1.45  0.00   0.002  0.000   0.025 0.001     0.20   0.09

  1260.00     2.00  0.00   0.004  0.000   0.035 0.002     0.36   0.17

  1280.00     2.68  0.00   0.008  0.000   0.047 0.004     0.56   0.27

  1300.00     3.54  0.00   0.013  0.000   0.061 0.007     0.83   0.38

  1320.00     4.59  0.00   0.020  0.000   0.079 0.011     1.21   0.53

  1340.00     5.89  0.00   0.032  0.000   0.100 0.018     1.76   0.76

  1360.00     7.50  0.00   0.050  0.000   0.126 0.029     2.55   1.09

  1380.00     9.51  0.00   0.079  0.000   0.156 0.046     3.68   1.57

  1400.00    12.05  0.00   0.124  0.000   0.191 0.073     5.28   2.24

  1420.00    15.37  0.00   0.190  0.000   0.230 0.113     7.58   3.18

  1440.00    19.88  0.00   0.291  0.000   0.269 0.176    10.93   4.51

  1460.00    26.36  0.00   0.444  0.000   0.297 0.274    15.78   6.39

  1480.00    36.40  0.00   0.656  0.000   0.280 0.413    22.19   8.81

  1500.00    54.99  0.00   0.875  0.000   0.166 0.560    28.13  10.98

  1520.00   100.80  0.00   0.944  0.000  -0.044 0.610    28.71  11.11

  1540.00   132.91  0.00   0.802  0.000  -0.222 0.516    22.85   8.87

  1560.00   146.57  0.00   0.596  0.000  -0.292 0.375    15.64   6.21

  1580.00   154.73  0.00   0.436  0.000  -0.290 0.261    10.29   4.29

  1600.00   160.24  0.00   0.335  0.000  -0.259 0.185     6.92   3.12

  1620.00   164.23  0.00   0.277  0.000  -0.222 0.138     4.87   2.45

  1640.00   167.28  0.00   0.248  0.000  -0.186 0.108     3.64   2.08

  1660.00   169.70  0.00   0.236  0.000  -0.154 0.091     2.91   1.89

  1680.00   171.69  0.00   0.237  0.000  -0.125 0.081     2.48   1.80

  1700.00   173.36  0.00   0.246  0.000  -0.100 0.077     2.25   1.79

  1720.00   174.79  0.00   0.261  0.000  -0.078 0.077     2.14   1.81

  1740.00   176.02  0.00   0.280  0.000  -0.059 0.080     2.12   1.86

  1760.00   177.09  0.00   0.302  0.000  -0.042 0.085     2.15   1.92

  1780.00   178.03  0.00   0.327  0.000  -0.028 0.091     2.22   2.00

  1800.00   178.84  0.00   0.353  0.000  -0.016 0.098     2.30   2.07

  1820.00   179.55  0.00   0.380  0.000  -0.006 0.106     2.40   2.14

  1840.00   180.15  0.00   0.408  0.000   0.002 0.115     2.50   2.21

  1860.00   180.66  0.00   0.436  0.000   0.009 0.125     2.60   2.28

  1880.00   181.08  0.00   0.464  0.000   0.014 0.134     2.70   2.34

  1900.00   181.41  0.00   0.492  0.000   0.018 0.144     2.80   2.39

  1920.00   181.66  0.00   0.519  0.000   0.020 0.154     2.88   2.43

  1940.00   181.82  0.00   0.546  0.000   0.021 0.164     2.97   2.47

  1960.00   181.91  0.00   0.572  0.000   0.022 0.174     3.04   2.50

  1980.00   181.91  0.00   0.597  0.000   0.021 0.183     3.10   2.53

  2000.00   181.83  0.00   0.621  0.000   0.020 0.193     3.16   2.55

  2020.00   181.67  0.00   0.644  0.000   0.017 0.202     3.21   2.56

  2040.00   181.43  0.00   0.666  0.000   0.014 0.211     3.26   2.57

  2060.00   181.11  0.00   0.687  0.000   0.011 0.220     3.29   2.57

  2080.00   180.71  0.00   0.707  0.000   0.007 0.229     3.33   2.56

  2100.00   180.22  0.00   0.725  0.000   0.002 0.238     3.35   2.55


    


