
  1100.00    -0.32  0.00   0.000  0.000  -0.006 0.000     0.02   0.00

  1120.00    -0.80  0.00   0.000  0.000  -0.014 0.000     0.08   0.00

  1140.00    -1.40  0.00   0.000  0.000  -0.024 0.001     0.17   0.00

  1160.00    -2.08  0.00   0.000  0.000  -0.036 0.001     0.27   0.00

  1180.00    -2.83  0.00   0.000  0.000  -0.049 0.002     0.38   0.00

  1200.00    -3.64  0.00   0.000  0.000  -0.063 0.004     0.51   0.00

  1220.00    -4.49  0.00   0.000  0.000  -0.078 0.006     0.64   0.00

  1240.00    -5.37  0.00   0.001  0.000  -0.093 0.009     0.80   0.02

  1260.00    -6.28  0.00   0.002  0.000  -0.109 0.013     0.96   0.05

  1280.00    -7.20  0.00   0.005  0.000  -0.124 0.017     1.13   0.08

  1300.00    -8.13  0.00   0.008  0.000  -0.139 0.022     1.31   0.12

  1320.00    -9.07  0.00   0.013  0.000  -0.155 0.028     1.49   0.18

  1340.00   -10.00  0.00   0.020  0.000  -0.169 0.035     1.68   0.24

  1360.00   -10.95  0.00   0.030  0.000  -0.184 0.043     1.87   0.32

  1380.00   -11.93  0.00   0.041  0.000  -0.198 0.052     2.07   0.40

  1400.00   -12.93  0.00   0.053  0.000  -0.212 0.062     2.26   0.48

  1420.00   -13.98  0.00   0.064  0.000  -0.227 0.073     2.43   0.53

  1440.00   -15.04  0.00   0.073  0.000  -0.241 0.083     2.59   0.57

  1460.00   -16.12  0.00   0.079  0.000  -0.256 0.094     2.71   0.57

  1480.00   -17.19  0.00   0.082  0.000  -0.271 0.105     2.81   0.55
  
  1500.00   -18.23  0.00   0.081  0.000  -0.285 0.114     2.87   0.51
  
  1520.00   -19.23  0.00   0.077  0.000  -0.299 0.124     2.91   0.45
  
  1540.00   -20.16  0.00   0.069  0.000  -0.312 0.132     2.93   0.38
  
  1560.00   -21.02  0.00   0.059  0.000  -0.325 0.140     2.91   0.31
  
  1580.00   -21.79  0.00   0.047  0.000  -0.336 0.146     2.88   0.23
  
  1600.00   -22.46  0.00   0.035  0.000  -0.347 0.152     2.84   0.16
  
  1620.00   -23.03  0.00   0.022  0.000  -0.356 0.157     2.77   0.10
  
  1640.00   -23.49  0.00   0.011  0.000  -0.363 0.161     2.70   0.05
  
  1660.00   -23.84  0.00   0.003  0.000  -0.369 0.164     2.62   0.01
  
  1680.00   -24.09  0.00   0.000  0.000  -0.373 0.167     2.54   0.00
  
  1700.00   -24.23  0.00   0.003  0.000  -0.374 0.169     2.46   0.01
  
  1720.00   -24.30  0.00   0.014  0.000  -0.372 0.172     2.38   0.05
  
  1740.00   -24.29  0.00   0.033  0.000  -0.369 0.175     2.32   0.11
  
  1760.00   -24.25  0.00   0.063  0.000  -0.363 0.179     2.28   0.20
  
  1780.00   -24.19  0.00   0.102  0.000  -0.354 0.185     2.26   0.31
  
  1800.00   -24.15  0.00   0.150  0.000  -0.344 0.193     2.27   0.44
  
  1820.00   -24.17  0.00   0.205  0.000  -0.333 0.204     2.30   0.58
  
  1840.00   -24.30  0.00   0.265  0.000  -0.321 0.217     2.35   0.72
  
  1860.00   -24.57  0.00   0.328  0.000  -0.310 0.232     2.42   0.86
  
  1880.00   -25.00  0.00   0.390  0.000  -0.299 0.249     2.51   0.98
  
  1900.00   -25.62  0.00   0.449  0.000  -0.289 0.268     2.60   1.09
  
  1920.00   -26.45  0.00   0.504  0.000  -0.281 0.288     2.70   1.18
  
  1940.00   -27.49  0.00   0.554  0.000  -0.274 0.308     2.79   1.25
  
  1960.00   -28.72  0.00   0.597  0.000  -0.268 0.329     2.88   1.31
  
  1980.00   -30.13  0.00   0.633  0.000  -0.263 0.350     2.96   1.34
  
  2000.00   -31.69  0.00   0.664  0.000  -0.259 0.370     3.04   1.36
  
  2020.00   -33.38  0.00   0.689  0.000  -0.256 0.390     3.10   1.37
  
  2040.00   -35.14  0.00   0.708  0.000  -0.254 0.409     3.15   1.36
  
  2060.00   -36.96  0.00   0.724  0.000  -0.252 0.427     3.19   1.35
  
  2080.00   -38.79  0.00   0.736  0.000  -0.251 0.445     3.23   1.33
  
  2100.00   -40.60  0.00   0.745  0.000  -0.250 0.461     3.25   1.31
  
           
