    1.100    0.400    0.854   -0.875   22.500   -0.4390    0.2300   15.0000   28.0000    0.1700  1  2
    1.100    0.400    0.854   -0.875   67.500    0.1300    0.1020  110.0000   92.0000    0.4050  1  2
    1.100    0.400    0.854   -0.875  112.500    0.0583    0.0910  132.0000  122.0000    0.7530  1  2
    1.100    0.400    0.854   -0.875  157.500    0.0852    0.0906  136.0000  121.0000    1.0100  1  2
    1.100    0.400    0.854   -0.875  202.500    0.0104    0.0891  133.0000  131.0000    1.0100  1  2
    1.100    0.400    0.854   -0.875  247.500   -0.1040    0.0941  111.0000  128.0000    0.7530  1  2
    1.100    0.400    0.854   -0.875  292.500   -0.1580    0.1020   91.0000  113.0000    0.4050  1  2
    1.100    0.400    0.854   -0.875  337.500   -0.5610    0.2220   15.0000   34.0000    0.1700  1  2
    1.100    0.400    0.854   -0.625   22.500    0.0757    0.1490   50.0000   45.0000    0.2120  1  2
    1.100    0.400    0.854   -0.625   67.500    0.0509    0.0901  134.0000  125.0000    0.5610  1  2
    1.100    0.400    0.854   -0.625  112.500    0.1130    0.0778  188.0000  161.0000    1.1100  1  2
    1.100    0.400    0.854   -0.625  157.500   -0.0512    0.0732  189.0000  203.0000    1.5400  1  2
    1.100    0.400    0.854   -0.625  202.500    0.0245    0.0720  206.0000  199.0000    1.5400  1  2
    1.100    0.400    0.854   -0.625  247.500   -0.1900    0.0777  154.0000  200.0000    1.1100  1  2
    1.100    0.400    0.854   -0.625  292.500   -0.0594    0.0925  118.0000  128.0000    0.5610  1  2
    1.100    0.400    0.854   -0.625  337.500   -0.2640    0.1520   38.0000   55.0000    0.2120  1  2
    1.100    0.400    0.854   -0.375   22.500    0.1220    0.1220   77.0000   65.0000    0.3280  1  2
    1.100    0.400    0.854   -0.375   67.500    0.1070    0.0787  183.0000  158.0000    0.7190  1  2
    1.100    0.400    0.854   -0.375  112.500   -0.0200    0.0652  244.0000  251.0000    1.3700  1  2
    1.100    0.400    0.854   -0.375  157.500   -0.0400    0.0584  299.0000  316.0000    1.9000  1  2
    1.100    0.400    0.854   -0.375  202.500   -0.0504    0.0590  291.0000  312.0000    1.9000  1  2
    1.100    0.400    0.854   -0.375  247.500   -0.0433    0.0642  247.0000  262.0000    1.3700  1  2
    1.100    0.400    0.854   -0.375  292.500   -0.0557    0.0752  179.0000  193.0000    0.7190  1  2
    1.100    0.400    0.854   -0.375  337.500    0.0115    0.1260   67.0000   66.0000    0.3280  1  2
    1.100    0.400    0.854   -0.125   22.500   -0.2940    0.1110   71.0000  107.0000    0.4630  1  2
    1.100    0.400    0.854   -0.125   67.500    0.0294    0.0723  205.0000  197.0000    0.8620  1  2
    1.100    0.400    0.854   -0.125  112.500   -0.0775    0.0596  281.0000  313.0000    1.5600  1  2
    1.100    0.400    0.854   -0.125  157.500   -0.0174    0.0562  328.0000  336.0000    2.1500  1  2
    1.100    0.400    0.854   -0.125  202.500   -0.1170    0.0552  319.0000  375.0000    2.1500  1  2
    1.100    0.400    0.854   -0.125  247.500    0.0164    0.0593  302.0000  295.0000    1.5600  1  2
    1.100    0.400    0.854   -0.125  292.500   -0.0069    0.0677  228.0000  230.0000    0.8620  1  2
    1.100    0.400    0.854   -0.125  337.500    0.0006    0.1090   88.0000   88.0000    0.4630  1  2
    1.100    0.400    0.854    0.125   22.500    0.0351    0.1020  104.0000   99.0000    0.6110  1  2
    1.100    0.400    0.854    0.125   67.500    0.0135    0.0684  226.0000  222.0000    1.0000  1  2
    1.100    0.400    0.854    0.125  112.500   -0.0203    0.0571  317.0000  326.0000    1.7100  1  2
    1.100    0.400    0.854    0.125  157.500   -0.0465    0.0519  377.0000  402.0000    2.3200  1  2
    1.100    0.400    0.854    0.125  202.500    0.0121    0.0542  361.0000  355.0000    2.3200  1  2
    1.100    0.400    0.854    0.125  247.500   -0.0364    0.0574  311.0000  327.0000    1.7100  1  2
    1.100    0.400    0.854    0.125  292.500    0.0232    0.0657  248.0000  240.0000    1.0000  1  2
    1.100    0.400    0.854    0.125  337.500   -0.0055    0.0942  118.0000  119.0000    0.6110  1  2
    1.100    0.400    0.854    0.375   22.500   -0.0830    0.0964  107.0000  120.0000    0.7850  1  2
    1.100    0.400    0.854    0.375   67.500   -0.0046    0.0614  277.0000  279.0000    1.1500  1  2
    1.100    0.400    0.854    0.375  112.500   -0.0239    0.0543  349.0000  361.0000    1.8200  1  2
    1.100    0.400    0.854    0.375  157.500   -0.0286    0.0509  398.0000  414.0000    2.4000  1  2
    1.100    0.400    0.854    0.375  202.500   -0.0252    0.0530  367.0000  380.0000    2.4000  1  2
    1.100    0.400    0.854    0.375  247.500    0.0486    0.0545  366.0000  342.0000    1.8200  1  2
    1.100    0.400    0.854    0.375  292.500   -0.0006    0.0617  275.0000  275.0000    1.1500  1  2
    1.100    0.400    0.854    0.375  337.500   -0.0338    0.0988  105.0000  110.0000    0.7850  1  2
    1.100    0.400    0.854    0.625   22.500    0.0220    0.1030  100.0000   97.0000    1.0100  1  2
    1.100    0.400    0.854    0.625   67.500    0.0006    0.0635  261.0000  261.0000    1.3300  1  2
    1.100    0.400    0.854    0.625  112.500   -0.0484    0.0568  315.0000  337.0000    1.9000  1  2
    1.100    0.400    0.854    0.625  157.500   -0.0387    0.0543  346.0000  365.0000    2.4000  1  2
    1.100    0.400    0.854    0.625  202.500   -0.0494    0.0546  340.0000  364.0000    2.4000  1  2
    1.100    0.400    0.854    0.625  247.500   -0.0326    0.0557  331.0000  346.0000    1.9000  1  2
